1	williams.edu	Williams College	威廉姆斯学院	
2	stanford.edu	Stanford University	斯坦福大学	 
3	swarthmore.edu	Swarthmore College	斯沃斯莫尔学院	
4	princeton.edu	Princeton University	普林斯顿大学	
5	mit.edu	Massachusetts Institute of Technology	麻省理工学院	
6	yale.edu	Yale University	耶鲁大学	
7	harvard.edu	Harvard University	哈佛大学	
8	pomona.edu	Pomona College	波莫纳学院	
9	usma.edu	United States Military Academy West Point	西点军校	 
10	amherst.edu	Amherst College	阿默斯特学院	
11	haverford.edu	Haverford College	哈弗福德学院	
12	upenn.edu	University of Pennsylvania	宾夕法尼亚大学	 
13	brown.edu	Brown University	布朗大学	 
14	bowdoin.edu	Bowdoin College	鲍登学院	
15	wesleyan.edu	Wesleyan University	卫斯理大学	
16	carleton.edu	Carleton College	卡尔顿学院	
17	nd.edu	University of Notre Dame	圣母大学	 
18	dartmouth.edu	Dartmouth College	达特茅斯学院	
19	northwestern.edu	Northwestern University	美国西北大学	
20	columbia.edu	Columbia University	哥伦比亚大学	
21	caltech.edu	California Institute of Technology	加州理工	
22	davidson.edu	Davidson College	大卫森学院	
23	duke.edu	Duke University	杜克大学	
24	uchicago.edu	University of Chicago	芝加哥大学	 
25	tufts.edu	Tufts University	塔夫斯大学	
26	vassar.edu	Vassar College	瓦萨学院	
27	usna.edu	United States Naval Academy	美国海军学院	 
28	georgetown.edu	Georgetown University	乔治敦大学	
29	wellesley.edu	Wellesley College	韦尔斯利学院	
30	middlebury.edu	Middlebury College	明德学院	
31	cornell.edu	Cornell University	康奈尔大学	
32	rice.edu	Rice University	莱斯大学	 
33	wlu.edu	Washington and Lee University	华盛顿与李大学	
34	usafa.af.mil	United States Air Force Academy	美国空军学院	
35	barnard.edu	Barnard College	巴纳德学院	
36	bc.edu	Boston College	波士顿学院	 
37	berkeley.edu	University of California Berkeley	加州大学伯克利分校	 
38	colgate.edu	Colgate University	科尔盖特大学	
39	colby.edu	Colby College	柯比学院	
40	virginia.edu	University of Virginia	弗吉尼亚大学	 
41	wm.edu	College of William and Mary	威廉和玛丽学院	
42	kenyon.edu	Kenyon College	凯尼恩学院	
43	oberlin.edu	Oberlin College	欧柏林学院	
44	ucla.edu	University of California Los Angeles	加州大学洛杉矶分校	
45	umich.edu	University of Michigan Ann Arbor	密歇根大学 安娜堡	 
46	reed.edu	Reed College	里德学院	
47	whitman.edu	Whitman College	惠特曼学院	
48	lafayette.edu	Lafayette College	拉斐特学院	
49	smith.edu	Smith College	史密斯学院	
50	unc.edu	University of North Carolina Chapel Hill	北卡 教堂山	 
51	coloradocollege.edu	Colorado College	科罗拉多学院	 
52	hmc.edu	Harvey Mudd College	哈维穆德学院	
53	holycross.edu	College of the Holy Cross	圣十字学院	
54	vanderbilt.edu	Vanderbilt University	范德比尔特大学	 
55	hamilton.edu	Hamilton College	汉密尔顿学院	
56	fandm.edu	Franklin and Marshall College	富兰克林和马歇尔学院	
57	union.edu	Union College	美国联合学院	New York
58	grinnell.edu	Grinnell College	格林内尔学院	
59	cmu.edu	Carnegie Mellon University	卡内基梅隆大学	 
60	bates.edu	Bates College	贝茨学院	
61	wfu.edu	Wake Forest University	维克森林大学	
62	rochester.edu	University of Rochester	罗切斯特大学	
63	wustl.edu	Washington University in St Louis	华盛顿大学圣路易斯	
64	cooper.edu	Cooper Union	库珀联盟学院	
65	brynmawr.edu	Bryn Mawr College	布林莫尔学院	
66	macalester.edu	Macalester College	马卡莱斯特学院	
67	jhu.edu	Johns Hopkins University	约翰霍普金斯大学	
68	illinois.edu	University of Illinois Urbana Champaign	伊利诺伊大学 香槟	 
69	scrippscollege.edu	Scripps College	斯克里普斯学院	
70	wisc.edu	University of Wisconsin Madison	美国威斯康星大学麦迪逊分校	 
71	villanova.edu	Villanova University	维拉诺瓦大学	
72	nyu.edu	New York University	纽约大学	 
73	washington.edu	University of Washington Seattle	华盛顿大学	 
74	brandeis.edu	Brandeis University	美国布兰迪斯大学	
75	wheaton.edu	Wheaton College	惠顿学院 伊利诺伊	Illinois
76	utexas.edu	University of Texas Austin	得克萨斯大学奥斯汀分校	 
77	lehigh.edu	Lehigh University	利哈伊大学	
78	usc.edu	University of Southern California	南加州大学	 
79	byu.edu	Brigham Young University Idaho	杨百翰大学	Idaho
80	oxy.edu	Occidental College	美国 西方学院	
81	centre.edu	Centre College 	森特学院	Danville
82	umd.edu	University of Maryland College Park	马里兰大学帕克分校	 
83	trincoll.edu	Trinity College	美国三一学院	Connecticut
84	conncoll.edu	Connecticut College	康涅狄格学院	
85	wofford.edu	Wofford College	沃福德大学	
86	scu.edu	Santa Clara University	圣塔克拉拉大学	
87	ufl.edu	University of Florida	佛罗里达大学	
88	dickinson.edu	Dickinson College	迪金森学院	
