1	Williams College	威廉姆斯学院
2	Stanford University	斯坦福大学
3	Swarthmore College	斯沃斯莫尔学院
4	Princeton University	普林斯顿大学
5	Massachusetts Institute of Technology	麻省理工学院
6	Yale University	耶鲁大学
7	Harvard University	哈佛大学
8	Pomona College	波莫纳学院
9	United States Military Academy	美国军事学院
10	Amherst College	阿默斯特学院
11	Haverford College	哈弗福德学院
12	University of Pennsylvania	宾夕法尼亚大学
13	Brown University	布朗大学
14	Bowdoin College	鲍登学院
15	Wesleyan University	卫斯理大学
16	Carleton College	卡尔顿学院
17	University of Notre Dame	圣母大学
18	Dartmouth College	达特茅斯学院
19	Northwestern University	美国西北大学
20	Columbia University	哥伦比亚大学
21	California Institute of Technology	加利福尼亚理工学院
22	Davidson College	大卫森学院
23	Duke University	杜克大学
24	University of Chicago	芝加哥大学
25	Tufts University	塔夫斯大学
26	Vassar College	瓦萨学院
27	United States Naval Academy	美国海军学院
28	Georgetown University	乔治敦大学
29	Wellesley College	韦尔斯利学院
30	Middlebury College	明德学院
31	Cornell University	康奈尔大学
32	Rice University	莱斯大学
33	Washington and Lee University	华盛顿与李大学
34	United States Air Force Academy	美国空军学院
35	Barnard College	巴纳德学院
36	Boston College	波士顿学院
37	University of California, Berkeley	加州大学伯克利分校
38	Colgate University	科尔盖特大学
39	Colby College	柯比学院
40	University of Virginia	弗吉尼亚大学
41	College of William and Mary	威廉和玛丽学院
42	Kenyon College	凯尼恩学院
43	Oberlin College	欧柏林学院
44	University of California, Los Angeles	加州大学洛杉矶分校
45	University of Michigan, Ann Arbor	密歇根州安娜堡大学
46	Reed College	里德学院
47	Whitman College	惠特曼学院
48	Lafayette College	拉斐特学院
49	Smith College	史密斯学院
50	University of North Carolina, Chapel Hill	北卡罗莱纳州教堂山大学
51	Colorado College	科罗拉多学院
52	Harvey Mudd College	哈维穆德学院
53	College of the Holy Cross	圣十字学院
54	Vanderbilt University	范德比尔特大学
55	Hamilton College	汉密尔顿学院
56	Franklin and Marshall College	富兰克林和马歇尔学院
57	Union College	美国联合学院
58	Grinnell College	格林内尔学院
59	Carnegie Mellon University	卡内基·梅隆大学
60	Bates College	贝茨学院
61	Wake Forest University	维克森林大学
62	University of Rochester	罗切斯特大学
63	Washington University in Saint Louis	华盛顿大学圣路易斯
64	Cooper Union	库珀联盟学院
65	Bryn Mawr College	布林莫尔学院
66	Macalester College	马卡莱斯特学院
67	Johns Hopkins University	约翰·霍普金斯大学
68	University of Illinois, Urbana-Champaign	伊利诺伊大学厄本纳香槟分校
69	Scripps College	斯克里普斯学院
70	University of Wisconsin, Madison	美国威斯康星大学麦迪逊分校
71	Villanova University	维拉诺瓦大学
72	New York University	纽约大学
73	University of Washington	华盛顿大学
74	Brandeis University	美国布兰迪斯大学
75	Wheaton College (Wheaton)	惠顿学院（IL）
76	University of Texas, Austin	得克萨斯大学奥斯汀分校
77	Lehigh University	利哈伊大学
78	University of Southern California	南加州大学
79	Brigham Young University	杨百翰大学
80	Occidental College	西方学院
81	Centre College	森特学院
82	University of Maryland, College Park	马里兰大学帕克分校
83	Trinity College	美国三一学院
84	Connecticut College	康涅狄格学院
85	Wofford College	沃福德大学
86	Santa Clara University	圣塔克拉拉大学
87	University of Florida	佛罗里达大学
88	Dickinson College	迪金森学院
89	Boston University	波士顿大学
90	Georgia Institute of Technology	佐治亚理工学院
91	DePauw University	美国德堡大学
92	Earlham College	厄勒姆学院
93	Rhodes College	罗德学院
94	University of Georgia	乔治亚大学
95	Denison University	丹尼森大学
96	University of Richmond	里奇蒙大学
97	Mount Holyoke College	曼荷莲女子文理学院
98	Sewanee-University of the South	西沃恩南方大学
99	Sarah Lawrence College	莎拉·劳伦斯学院
100	Furman University	弗曼大学
101	Southern Methodist University	南方卫理公会大学
102	Skidmore College	斯基德莫尔学院
103	Gettysburg College	葛底斯堡学院
104	Pitzer College	匹泽学院
105	Providence College	普罗维登斯学院
106	Lawrence University	劳伦斯大学
107	Indiana University, Bloomington	印地安那大学伯明顿分校
108	University of Minnesota, Twin Cities	明尼苏达双城大学
109	Saint Olaf College	圣奥拉夫学院
110	Hampshire College	罕布什尔学院
111	Kalamazoo College	卡拉马祖学院
112	Pepperdine University	佩珀代因大学
113	University of California, Davis	美国加州大学戴维斯分校
114	United States Coast Guard Academy	美国海岸警卫学院
115	Lewis & Clark College	路易克拉克大学
116	University of California, Santa Barbara	加利福尼亚大学圣塔芭芭拉分校
117	Virginia Tech	弗吉尼亚理工大学
118	University of Colorado, Boulder	科罗拉多大学波尔得分校
119	Purdue University, West Lafayette	普渡大学西拉法叶校区
120	Yeshiva University	叶史瓦大学
121	Muhlenberg College	穆伦堡学院
122	George Washington University	乔治华盛顿大学
123	University of Redlands	雷德兰兹大学
124	College of the Atlantic	大西洋学院
125	Bennington College	本宁顿学院
126	University of California, San Diego	加利福尼亚大学圣地亚哥分校
127	Case Western Reserve University	凯斯西储大学
128	University of Miami	迈阿密大学
129	Virginia Military Institute	弗吉尼亚军事学院
130	Willamette University	威拉米特大学
131	Rensselaer Polytechnic Institute	伦斯勒理工学院
132	Trinity University	美国三一大学
133	Juniata College	杰尼阿塔学院
134	American University	美国大学
135	University of Delaware	特拉华大学
136	College of Wooster	伍斯特学院
137	Texas A&M University, College Station	德克萨斯农工大学
138	Saint Lawrence University	圣劳伦斯大学
139	University of Denver	丹佛大学
140	University of Vermont	佛蒙特大学
141	University of Utah	犹他大学
142	Presbyterian College	长老会学院
143	Drake University	德雷克大学
144	University of California, Irvine	加州大学欧文分校
145	Ohio Wesleyan University	俄亥俄卫斯理大学
146	Clark University	克拉克大学
147	Tulane University	杜兰大学
148	Grove City College	格罗夫城市学院
149	Knox College	诺克斯学院
150	Fordham University	福特汉姆大学
151	Saint Michael's College	圣迈克尔学院
152	Hendrix College	亨德里克斯学院
153	Colorado School of Mines	科罗拉多矿业学院
154	Bard College	巴德学院
155	Ohio State University, Columbus	俄亥俄州立大学哥伦布分校
156	Creighton University	克赖顿大学
157	California Polytechnic State University, San Luis Obispo	加州州立理工大学，圣路易斯奥比斯波
158	Syracuse University	雪城大学
159	Thomas Aquinas College	托马斯阿奎那斯学院
160	Hobart and William Smith Colleges	霍巴特和威廉史密斯学院
161	Westmont College	韦斯特蒙特学院
162	Saint John's College (MD)	圣约翰学院（MD）
163	Clemson University	克莱姆森大学
164	University of Connecticut	康涅狄格大学
165	Beloit College	伯洛伊特学院
166	Pennsylvania State University, University Park	宾夕法尼亚州立大学大学城分校
167	North Carolina State University, Raleigh	北卡罗莱纳州立大学罗利分校
168	College of New Jersey	新泽西学院
169	Michigan State University	密歇根州立大学
170	Loyola University Maryland	洛约拉大学马里兰分校
171	Hampden-Sydney College	汉普顿-悉尼学院
172	Hope College	霍普学院
173	Worcester Polytechnic Institute	伍斯特理工学院
174	SUNY, Binghamton (Binghamton University)	纽约州立大学宾厄姆顿（宾厄姆顿大学）
175	Wheaton College (Norton)	惠顿学院（MA）
176	Miami University, Oxford	迈阿密大学牛津分校
177	Rutgers University, New Brunswick	罗格斯大学，新不伦瑞克
178	Hillsdale College	希尔斯代尔学院
179	Wabash College	瓦巴什学院
180	New College of Florida	新佛罗里达学院
181	University of Puget Sound	普吉特湾大学
182	Elon University	依隆大学
183	Loyola Marymount University	洛约拉马利蒙特大学
184	Transylvania University	特兰西瓦尼亚大学
185	University of New Hampshire	新罕布什尔大学
186	University of South Carolina, Columbia	南卡罗来纳大学哥伦比亚
187	University of Portland	波特兰大学
188	James Madison University	詹姆斯·麦迪逊大学
189	Saint Anselm College	圣安瑟伦学院
190	Louisiana State University	路易斯安那州立大学
191	Saint Louis University	圣路易斯大学
192	University of Iowa	爱荷华大学
193	Ursinus College	尤西纽斯学院 
194	College of the Ozarks	奥沙克学院
195	Baylor University	贝勒大学
196	Bentley University	本特利大学
197	Southwestern University	西南大学
198	University of Pittsburgh	匹兹堡大学
199	Manhattan College	曼哈顿学院
200	University of Wyoming	怀俄明大学
201	Gustavus Adolphus College	古斯塔夫阿道尔夫学院
202	University of Oklahoma, Norman	俄克拉何马州诺曼大学
203	Samford University	桑福德大学
204	Auburn University	奥本大学
205	Carroll College	卡罗尔学院
206	The Catholic University of America	美国天主教大学
207	Saint Mary's College of Maryland	马里兰州圣玛丽学院
208	Marquette University	马凯特大学
209	Northeastern University	美国东北大学
210	Wittenberg University	维滕贝格大学
211	United States Merchant Marine Academy	美国商船学院
212	University of Dallas	达拉斯大学
213	University of Tulsa	塔尔萨大学
214	University of San Francisco	旧金山大学
215	CUNY, City College	纽约城市大学城市学院
216	Texas Christian University	德克萨斯基督教大学
217	Saint John's University (MN)	圣约翰大学（MN）
218	University of California, Santa Cruz	加利福尼亚大学圣塔克鲁兹分校
219	Saint Mary's College of California	加州圣玛丽学院
220	Calvin College	卡尔文学院
221	Stonehill College	斯通希尔学院
222	University of Massachusetts, Amherst	马萨诸塞大学阿默斯特分校
223	University of San Diego	圣地亚哥大学
224	Rollins College	罗林斯学院
225	Allegheny College	阿勒格尼学院
226	Florida State University	佛罗里达州立大学
227	Saint Joseph's University	圣约瑟夫大学
228	Emerson College	爱默生学院
229	University of Saint Thomas	圣托马斯大学
230	University of Missouri, Columbia	密苏里大学哥伦比亚分校
231	Whitworth University	惠氏大学
232	George Mason University	乔治·梅森大学
233	Clarkson University	克拉克森大学
234	Fairfield University	费尔菲尔德大学
235	University of Oregon	俄勒冈大学
236	Lake Forest College	森林湖学院
237	Luther College	路德学院
238	Gonzaga University	冈萨加大学
239	Butler University	巴特勒大学
240	Linfield College	林菲尔德学院
241	SUNY, College of Environmental Science and Forestry	纽约州立大学环境科学与林业科学学院
242	University of Dayton	代顿大学
243	Saint Mary's College	圣玛丽学院
244	CUNY, Baruch College	纽约市立大学巴鲁克学院
245	Sweet Briar College	斯威特布赖尔学院
246	Truman State University	杜鲁门州立大学
247	Illinois Institute of Technology	伊利诺理工大学
248	Augustana College (Rock Island)	奥古斯塔纳学院(伊利诺伊州)
249	SUNY, Stony Brook (Stony Brook University)	纽约州立大学石溪分校
250	University of Arizona	亚利桑那大学
251	John Carroll University	约翰·卡罗尔大学
252	The Citadel	塞特多大学
253	Illinois Wesleyan University	伊利诺伊州卫斯理大学
254	Agnes Scott College	阿格尼斯斯科特学院
255	University of Mary Washington	玛丽华盛顿大学
256	Fisk University	费斯克大学
257	Taylor University	泰勒大学
258	Hanover College	汉诺威学院
259	Rockhurst University	罗克赫斯特大学
260	College of Idaho	爱达荷大学
261	Iowa State University	爱荷华州立大学
262	San Diego State University	圣地亚哥州立大学
263	University of California, Riverside	加州大学河滨分校
264	Pacific Lutheran University	太平洋路德大学
