1,Amherst College (Amherst)|Wesleyan University (Middletown)|Swarthmore College (Swarthmore)|Bowdoin College (Brunswick)|Tufts University|Middlebury College (Middlebury)|Pomona College (Claremont)|Wellesley College (Wellesley)|Dartmouth College|Colby College (Waterville)|Stanford University (Stanford)|Smith College (Northampton)|Yale University|Bates College (Lewiston)|Harvard University (Cambridge)
2,"Harvard University (Cambridge)|Yale University|University of California, Berkeley (Berkeley)|Massachusetts Institute of Technology (Cambridge)|Princeton University (Princeton)|Columbia University|University of California, Los Angeles (Los Angeles)|University of Southern California (Los Angeles)|California Institute of Technology (Pasadena)|University of Oxford (Oxford)|University of Cambridge (Cambridge)|Brown University (Providence)|Cornell University (Ithaca)|Duke University (Durham)|University of Pennsylvania (Philadelphia)"
3,Haverford College (Haverford)|Williams College (Williamstown)|Amherst College (Amherst)|Pomona College (Claremont)|Wesleyan University (Middletown)|Bowdoin College (Brunswick)|University of Pennsylvania (Philadelphia)|Vassar College (Poughkeepsie)|Princeton University (Princeton)|Bryn Mawr College (Bryn Mawr)|Middlebury College (Middlebury)|Claremont McKenna College (Claremont)|Ursinus College (Collegeville)|Harvey Mudd College (Claremont)|Carleton College (Northfield)
4,"Harvard University (Cambridge)|Yale University|Stanford University (Stanford)|Massachusetts Institute of Technology (Cambridge)|Columbia University|University of California, Berkeley (Berkeley)|Brown University (Providence)|Dartmouth College|Cornell University (Ithaca)|California Institute of Technology (Pasadena)|University of California, Los Angeles (Los Angeles)|University of Chicago (Chicago)|University of Oxford (Oxford)|University of Pennsylvania (Philadelphia)|Duke University (Durham)"
5,"Harvard University (Cambridge)|Stanford University (Stanford)|Princeton University (Princeton)|Yale University|University of California, Berkeley (Berkeley)|California Institute of Technology (Pasadena)|University of Oxford (Oxford)|Cornell University (Ithaca)|Columbia University|Carnegie Mellon University (Pittsburgh)|University of Cambridge (Cambridge)|Brown University (Providence)|Boston University (Boston)|University of Chicago (Chicago)|Duke University (Durham)"
6,"Harvard University (Cambridge)|Stanford University (Stanford)|Princeton University (Princeton)|Brown University (Providence)|Columbia University|Cornell University (Ithaca)|Massachusetts Institute of Technology (Cambridge)|Dartmouth College|University of Pennsylvania (Philadelphia)|University of California, Berkeley (Berkeley)|Duke University (Durham)|New York University (New York City)|University of Oxford (Oxford)|University of California, Los Angeles (Los Angeles)|University of Cambridge (Cambridge)"
7,"Yale University|Stanford University (Stanford)|Princeton University (Princeton)|Massachusetts Institute of Technology (Cambridge)|University of Oxford (Oxford)|Columbia University|Brown University (Providence)|University of Cambridge (Cambridge)|Cornell University (Ithaca)|University of California, Berkeley (Berkeley)|University of Pennsylvania (Philadelphia)|Dartmouth College|California Institute of Technology (Pasadena)|New York University (New York City)|University of California, Los Angeles (Los Angeles)"
8,"Claremont McKenna College (Claremont)|Harvey Mudd College (Claremont)|Pitzer College (Claremont)|Scripps College (Claremont)|Occidental College (Los Angeles)|Swarthmore College (Swarthmore)|Williams College (Williamstown)|California State Polytechnic University, Pomona (Pomona)|Bowdoin College (Brunswick)|Claremont Graduate University (Claremont)|Amherst College (Amherst)|Carleton College (Northfield)|Oberlin College (Oberlin)|Middlebury College (Middlebury)|Haverford College (Haverford)"
9,United States Naval Academy (Annapolis)|United States Air Force Academy (Colorado Springs)|United States Coast Guard Academy (New London)|United States Merchant Marine Academy (Kings Point)|United States Army War College (Carlisle)|United States Army Command and General Staff College (Fort Leavenworth)|Harvard University (Cambridge)|Virginia Military Institute (Lexington city)|Royal Military Academy Sandhurst|Texas A&M University Corps of Cadets (College Station)|Columbia University|Republic of China Military Academy (Kaohsiung)|Naval Postgraduate School (Monterey)
10,University of Massachusetts Amherst|Williams College (Williamstown)|Wesleyan University (Middletown)|Bowdoin College (Brunswick)|Hampshire College (Amherst)|Tufts University|Mount Holyoke College (South Hadley)|Smith College (Northampton)|Swarthmore College (Swarthmore)|Brandeis University (Waltham)|Dartmouth College|Bates College (Lewiston)|Pomona College (Claremont)|Colgate University (Hamilton)|Connecticut College (New London)
11,Swarthmore College (Swarthmore)|Bryn Mawr College (Bryn Mawr)|Wesleyan University (Middletown)|Bowdoin College (Brunswick)|Villanova University (Villanova)|University of Pennsylvania (Philadelphia)|Pomona College (Claremont)|Williams College (Williamstown)|Vassar College (Poughkeepsie)|Claremont McKenna College (Claremont)|Muhlenberg College (Allentown)|Ursinus College (Collegeville)|Franklin & Marshall College (Lancaster)|Widener University (Chester)|Harvey Mudd College (Claremont)
12,Pennsylvania State University (University Park)|Cornell University (Ithaca)|Drexel University (Philadelphia)|Duke University (Durham)|Dartmouth College|Harvard University (Cambridge)|Yale University|Temple University (Philadelphia)|Brown University (Providence)|Stanford University (Stanford)|University of Chicago (Chicago)|Johns Hopkins University (Baltimore)|Columbia University|Carnegie Mellon University (Pittsburgh)|Princeton University (Princeton)
13,"Yale University|Columbia University|Cornell University (Ithaca)|Dartmouth College|Harvard University (Cambridge)|Princeton University (Princeton)|Stanford University (Stanford)|New York University (New York City)|University of Pennsylvania (Philadelphia)|Duke University (Durham)|Boston University (Boston)|Rhode Island School of Design (Providence)|Massachusetts Institute of Technology (Cambridge)|Tufts University|University of California, Berkeley (Berkeley)"
14,Bates College (Lewiston)|Colby College (Waterville)|Amherst College (Amherst)|Middlebury College (Middlebury)|Williams College (Williamstown)|Wesleyan University (Middletown)|Tufts University|Swarthmore College (Swarthmore)|University of Southern Maine (Portland)|University of Maine (Orono)|Pomona College (Claremont)|Haverford College (Haverford)|Carleton College (Northfield)|Hamilton College (Clinton)|Connecticut College (New London)
15,Wesleyan College (Macon)|Wellesley College (Wellesley)|Williams College (Williamstown)|Vassar College (Poughkeepsie)|Amherst College (Amherst)|Connecticut College (New London)|Trinity College (Hartford)|Bowdoin College (Brunswick)|Middlebury College (Middlebury)|Tufts University|Swarthmore College (Swarthmore)|Bates College (Lewiston)|Oberlin College (Oberlin)|Colby College (Waterville)|Hamilton College (Clinton)
16,St. Olaf College (Northfield)|Macalester College (Saint Paul)|Carleton University (Ottawa)|Grinnell College (Grinnell)|Bowdoin College (Brunswick)|Gustavus Adolphus College (St. Peter)|Pomona College (Claremont)|Hamline University (Saint Paul)|Davidson College (Davidson)|Colby College (Waterville)|Williams College (Williamstown)|Oberlin College (Oberlin)|Claremont McKenna College (Claremont)|Wesleyan University (Middletown)|Augsburg College (Minneapolis)
17,"Vanderbilt University (Nashville)|Georgetown University (Washington, D.C.)|Boston College (Chestnut Hill)|Ohio State University (Columbus)|Northwestern University (Evanston)|Purdue University (West Lafayette)|Cornell University (Ithaca)|Dartmouth College|University of Chicago (Chicago)|University of Michigan (Ann Arbor)|University of Virginia (Charlottesville)|Stanford University (Stanford)|Yale University|University of Pennsylvania (Philadelphia)|Princeton University (Princeton)"
18,"Cornell University (Ithaca)|Brown University (Providence)|Duke University (Durham)|University of Pennsylvania (Philadelphia)|Yale University|Princeton University (Princeton)|Columbia University|Harvard University (Cambridge)|Stanford University (Stanford)|University of Chicago (Chicago)|Massachusetts Institute of Technology (Cambridge)|Northwestern University (Evanston)|University of New Hampshire|University of California, Berkeley (Berkeley)"
19,University of Chicago (Chicago)|Kellogg School of Management (Evanston)|Loyola University Chicago (Chicago)|DePaul University (Chicago)|University of Illinois at Urbana–Champaign|Cornell University (Ithaca)|Duke University (Durham)|Johns Hopkins University (Baltimore)|Columbia University|University of Michigan (Ann Arbor)|Stanford University (Stanford)|New York University (New York City)|University of Pennsylvania (Philadelphia)|Brown University (Providence)|Northern Illinois University (DeKalb)
20,"New York University (New York City)|Cornell University (Ithaca)|Yale University|Brown University (Providence)|Harvard University (Cambridge)|Stanford University (Stanford)|Princeton University (Princeton)|Dartmouth College|University of Chicago (Chicago)|Fordham University (New York City)|Duke University (Durham)|University of California, Los Angeles (Los Angeles)|Massachusetts Institute of Technology (Cambridge)|University of California, Berkeley (Berkeley)|University of Pennsylvania (Philadelphia)"
