Stevens Institute of Technology	(201) 216-5000
Lamar University	(000) 000-0000
Fairleigh Dickinson University, Metropolitan Campus	(201) 692-2000
The Catholic University of America	(202) 319-5000
Georgetown University	(202) 687-0100
Howard University	(202) 806-6100
American University	(202) 885-1000
George Washington University	(202) 994-1000
Fairfield University	(203) 254-4000
Yale University	(203) 432-4771
Quinnipiac University	(203) 582-8200
Birmingham-Southern College	(205) 226-4600
University of Alabama	(205) 348-6010
Samford University	(205) 726-2011
University of Alabama, Birmingham	(205) 934-4011
Seattle Pacific University	(206) 281-2000
Seattle University	(206) 296-6000
University of Washington	(206) 543-2100
University of New England	(207) 283-0171
College of the Atlantic	(207) 288-5015
University of Maine, Orono	(207) 581-1110
Bowdoin College	(207) 725-3000
Bates College	(207) 786-6255
Colby College	(207) 859-4000
Idaho State University	(208) 282-0211
Boise State University	(208) 426-1000
College of Idaho	(208) 459-5011
Brigham Young University, Idaho	(208) 496-1411
University of Idaho	(208) 885-6111
California State University, Stanislaus	(209) 667-3122
University of the Pacific	(209) 946-2285
Saint Mary's University, San Antonio	(210) 436-3011
University of Texas, San Antonio	(210) 458-4011
Trinity University	(210) 999-7011
CUNY, John Jay College Criminal Justice	(212) 237-8000
Pace University	(212) 346-1200
Cooper Union	(212) 353-4100
Touro College	(212) 463-0400
CUNY, City College	(212) 650-7000
CUNY, Hunter College	(212) 772-4000
Columbia University	(212) 854-1754
Barnard College	(212) 854-5262
Yeshiva University	(212) 960-5400
New York University	(212) 998-1212
University of Southern California	(213) 740-2311
Southern Methodist University	(214) 768-2000
Temple University	(215) 204-7000
Drexel University	(215) 895-2000
University of Pennsylvania	(215) 898-5000
La Salle University	(215) 951-1000
Case Western Reserve University	(216) 368-2000
John Carroll University	(216) 397-1886
Cleveland State University	(216) 687-2000
Illinois College	(217) 245-3000
University of Illinois, Urbana-Champaign	(217) 333-1000
Millikin University	(217) 424-6211
Concordia College—Moorhead	(218) 299-4000
College of St. Scholastica	(218) 723-6000
Valparaiso University	(219) 464-5000
Saint Joseph's College	(219) 866-6000
Louisiana State University	(225) 578-3202
Saint Mary's College of Maryland	(240) 895-2000
Oakland University	(248) 370-2100
Spring Hill College	(251) 380-4000
University of South Alabama	(251) 460-6101
East Carolina University	(252) 328-6131
Pacific Lutheran University	(253) 535-7411
University of Puget Sound	(253) 879-3100
Baylor University	(254) 710-1011
University of Alabama, Huntsville	(256) 824-1000
Huntington University	(260) 356-6000
Carroll University	(262) 524-7373
Carthage College	(262) 551-8500
Kalamazoo College	(269) 337-7000
Western Michigan University	(269) 387-1000
Andrews University	(269) 471-7771
Western Kentucky University	(270) 745-0111
Murray State University	(270) 809-3011
Emory and Henry College	(276) 944-4121
University of Maryland, College Park	(301) 405-1000
Hood College	(301) 663-3131
Wilmington University	(302) 674-8726
University of Delaware	(302) 831-2792
Colorado School of Mines	(303) 273-3000
University of Colorado, Boulder	(303) 492-1411
University of Colorado, Denver	(303) 556-2400
Metropolitan State University of Denver	(303) 556-5740
University of Denver	(303) 871-2000
Wheeling Jesuit University	(304) 243-2000
West Virginia University	(304) 293-0111
University of Miami	(305) 284-2211
Florida International University	(305) 348-2000
Barry University	(305) 899-3000
University of Wyoming	(307) 766-1121
Western Illinois University	(309) 298-1414
Knox College	(309) 341-7000
Illinois State University	(309) 438-2111
Monmouth College	(309) 457-2345
Illinois Wesleyan University	(309) 556-1000
Bradley University	(309) 676-7611
Augustana College (Rock Island)	(309) 794-7000
Loyola Marymount University	(310) 338-2700
University of California, Los Angeles	(310) 825-4321
Mount Saint Mary's College	(310) 954-4250
DePaul University	(312) 362-8000
Columbia College Chicago	(312) 369-1000
Illinois Institute of Technology	(312) 567-3000
University of Illinois, Chicago	(312) 996-4350
Wayne State University	(313) 577-2424
University of Missouri, Saint Louis	(314) 516-5131
Maryville University of Saint Louis	(314) 529-9350
Washington University in Saint Louis	(314) 935-5000
Webster University	(314) 968-6900
Colgate University	(315) 228-7000
Saint Lawrence University	(315) 229-5011
Clarkson University	(315) 268-6400
Wells College	(315) 364-3266
Syracuse University	(315) 443-1870
Le Moyne College	(315) 445-4100
SUNY, College of Environmental Science and Forestry	(315) 470-6500
Hobart and William Smith Colleges	(315) 781-3000
Hamilton College	(315) 859-4011
Wichita State University	(316) 978-3456
Indiana University-Purdue University, Indianapolis	(317) 274-2548
Butler University	(317) 940-8000
Louisiana Tech University	(318) 257-2000
Centenary College of Louisiana	(318) 869-5011
University of Northern Iowa	(319) 273-2311
University of Iowa	(319) 335-3500
Coe College	(319) 399-8000
Cornell College	(319) 895-4000
Saint Cloud State University	(320) 308-0121
College of Saint Benedict	(320) 363-2011
Saint John's University (MN)	(320) 363-2011
University of Minnesota, Morris	(320) 589-6035
Florida Institute of Technology	(321) 674-8000
Occidental College	(323) 259-2500
California State University, Los Angeles	(323) 343-3000
Abilene Christian University	(325) 674-2000
College of Wooster	(330) 263-2000
Hiram College	(330) 569-5169
Kent State University	(330) 672-3000
Youngstown State University	(330) 941-3000
University of Akron	(330) 972-7111
