1,Williams College,Williams College (Williamstown)
2,Stanford University,Stanford University (Stanford)
3,Swarthmore College,Swarthmore College (Swarthmore)
4,Princeton University,Princeton University (Princeton)
5,Massachusetts Institute of Technology,Massachusetts Institute of Technology (Cambridge)
6,Yale University,Yale University
7,Harvard University,Harvard University (Cambridge)
9,United States Military Academy,United States Military Academy (West Point)
10,Amherst College,Amherst College (Amherst)
11,Haverford College,Haverford College (Haverford)
12,University of Pennsylvania,University of Pennsylvania (Philadelphia)
13,Brown University,Brown University (Providence)
14,Bowdoin College,Bowdoin College (Brunswick)
15,Wesleyan University,Wesleyan University (Middletown)
16,Carleton College,Carleton College (Northfield)
17,University of Notre Dame,University of Notre Dame (Notre Dame)
18,Dartmouth College,Dartmouth College
19,Northwestern University,Northwestern University (Evanston)
20,Columbia University,Columbia University
21,California Institute of Technology,California Institute of Technology (Pasadena)
22,Davidson College,Davidson College (Davidson)
23,Duke University,Duke University (Durham)
24,University of Chicago,University of Chicago (Chicago)
25,Tufts University,Tufts University
26,Vassar College,Vassar College (Poughkeepsie)
27,United States Naval Academy,United States Naval Academy (Annapolis)
29,Wellesley College,Wellesley College (Wellesley)
30,Middlebury College,Middlebury College (Middlebury)
31,Cornell University,Cornell University (Ithaca)
32,Rice University,Rice University (Houston)
33,Washington and Lee University,Washington and Lee University (Lexington city)
34,United States Air Force Academy,United States Air Force Academy (Colorado Springs)
35,Barnard College,Barnard College (New York City)
36,Boston College,Boston College (Chestnut Hill)
37,"University of California, Berkeley","University of California, Berkeley (Berkeley)"
38,Colgate University,Colgate University (Hamilton)
39,Colby College,Colby College (Waterville)
40,University of Virginia,University of Virginia (Charlottesville)
41,College of William and Mary,College of William & Mary
42,Kenyon College,Kenyon College (Gambier)
43,Oberlin College,Oberlin College (Oberlin)
44,"University of California, Los Angeles","University of California, Los Angeles (Los Angeles)"
45,"University of Michigan, Ann Arbor",University of Michigan (Ann Arbor)
46,Reed College,Reed College (Portland)
47,Whitman College,Whitman College (Walla Walla)
48,Lafayette College,Lafayette College (Easton)
49,Smith College,Smith College (Northampton)
50,"University of North Carolina, Chapel Hill",University of North Carolina at Chapel Hill (Chapel Hill)
51,Colorado College,Colorado College (Colorado Springs)
52,Harvey Mudd College,Harvey Mudd College (Claremont)
53,College of the Holy Cross,College of the Holy Cross (Worcester)
54,Vanderbilt University,Vanderbilt University (Nashville)
55,Hamilton College,Hamilton College (Clinton)
56,Franklin and Marshall College,Franklin & Marshall College (Lancaster)
57,Union College,Union College (Schenectady)
58,Grinnell College,Grinnell College (Grinnell)
59,Carnegie Mellon University,Carnegie Mellon University (Pittsburgh)
60,Bates College,Bates College (Lewiston)
61,Wake Forest University,Wake Forest University (Winston-Salem)
62,University of Rochester,University of Rochester (Rochester)
63,Washington University in Saint Louis,Washington University in St. Louis (St. Louis)
64,Cooper Union,Cooper Union (New York City)
65,Bryn Mawr College,Bryn Mawr College (Bryn Mawr)
66,Macalester College,Macalester College (Saint Paul)
67,Johns Hopkins University,Johns Hopkins University (Baltimore)
68,"University of Illinois, Urbana-Champaign",University of Illinois at Urbana–Champaign
69,Scripps College,Scripps College (Claremont)
70,"University of Wisconsin, Madison",University of Wisconsin-Madison (Madison)
