id,name,url,city,state_full,state_short,logo_url,facebook_url,twitter_url,phone,profile,forbes_url
1,Williams College,http://www.williams.edu/,Williamstown,Massachusetts,MA,http://i.forbesimg.com/media/lists/colleges/williams-college_200x200.jpg,https://www.facebook.com/williamscollege,https://twitter.com/WilliamsCollege,413-597-3131,"This year Williams College ranks as the No. 1 top college in America. It was founded in 1793 as a men’s college and women weren't admitted until 1970. This elite liberal arts school is part of the “Little Three,” along with Wesleyan University and rival Amherst College. The school follows a 4-1-4 annual schedule, which includes a one-course winter study term in addition to two four-course semesters. There are 30 majors and no required courses at Williams, but all students must complete three arts and humanities, three social sciences and three science and math classes. Over 150 student organizations are on campus and over 3/4 of students participate in at least one extracurricular activity. The Williams College Museum of Art is home to over 13,000 works by artists such as Edward Hopper and the Chapin Library’s collection includes first prints of the Declaration of Independence, Bill of Rights and George Washington’s personal copy of the Federalist Papers. Prominent alumni include billionaire AOL cofounder Steve Case, billionaire investor Herb Allen Jr. and composer Stephen Sondheim, as well as former U.S. President James Garfield. The college’s athletic teams, nicknamed the Ephs, compete at the NCAA Division III level.",http://www.forbes.com/colleges/williams-college/?list=top-colleges
2,Stanford University,http://www.stanford.edu/,Stanford,California,CA,http://i.forbesimg.com/media/lists/colleges/stanford-university_200x200.jpg,https://www.facebook.com/stanford,https://twitter.com/Stanford,650-723-2091,"Stanford University is a private research university in Stanford, CA. It was founded in 1885 by railroad magnate Leland Stanford. Its community of scholars includes 22 Nobel laureates, 27 MacArthur Fellows, five Pulitzer Prize winners, 158 National Academy of Sciences members and three Presidential Medal of Freedom winners. Approximately 97% of students live on Stanford’s campus, which consists of nearly 700 major buildings spread across 8,180 acres. There are over 600 student organizations at Stanford. Students can take advantage of the university’s high research activity and prime location in the heart of Silicon Valley, the epicenter of the tech world. There are over 5,000 externally sponsored research projects at Stanford with a total budget of over $1.3 billion. Stanford’s endowment, valued at over $18 billion, is one of the largest in the world. The university has produced numerous luminaries, including one U.S. president, four U.S. Supreme Court justices and business leaders like Steve Ballmer, Sergey Brin, Larry Page and Marissa Mayer. Stanford has also been home to some of the world’s most successful athletes, including John McEnroe, John Elway, Tiger Woods, Michelle Wie and Andrew Luck. Student-athletes compete in the Pacific-12 Conference (NCAA Division I).",http://www.forbes.com/colleges/stanford-university/?list=top-colleges
3,Swarthmore College,http://www.swarthmore.edu/,Swarthmore,Pennsylvania,PA,http://i.forbesimg.com/media/lists/colleges/swarthmore-college_200x200.jpg,https://www.facebook.com/SwarthmoreCollege,https://twitter.com/swarthmore,610-328-8300,"Swarthmore College is a private liberal arts school in Swarthmore, PA. It was founded in 1864 and is located just 11 miles from Philadelphia. The college has over 40 courses of study and approximately 93% of students live on campus. Swarthmore offers loan-free financial aid awards. First-year seminars are limited to 12 students. The school is a member of the Tri-College Consortium with Bryn Mawr and Haverford and students can cross-register for courses at the nearby University of Pennsylvania. About 66% of students participate in undergraduate research or independent creative projects each summer. The college is also one of the leading producers of Ph.D. students in the U.S.--nearly 20% of the student body goes on to complete a doctoral program, which is the third highest rate in the nation. Those looking to get involved outside of the classroom and laboratory can take part in more than 100 student clubs and organizations. On the Sunday night before the first day of fall classes, students gather to watch ""The Graduate"" in celebration of the new school year. Student-athletes compete in the Centennial Conference at the NCAA Division III level. Swarthmore’s 425-acre campus includes the Scott Arboretum, which features more than 4,000 types of ornamental plants.",http://www.forbes.com/colleges/swarthmore-college/?list=top-colleges
4,Princeton University,http://www.princeton.edu/,Princeton,New Jersey,NJ,http://i.forbesimg.com/media/lists/colleges/princeton-university_200x200.jpg,https://www.facebook.com/PrincetonU,https://twitter.com/Princeton,609-258-3000,"Chartered in 1746, Princeton University is one of the oldest colleges in the country. Nassau Hall, perhaps first among the historic buildings that adorn Princeton’s 500-acre campus in Princeton, NJ, served as the nation’s capital in 1783. Undergraduates may select from 34 academic departments. Nearly a dozen current faculty members are Nobel Prize recipients. Admitted students can defer their enrollment for a year to participate in community service work abroad through the Bridge Year program. On-campus housing is guaranteed for all four years for undergraduates. The university’s generous financial aid program provides grants and campus jobs in place of student loans. Princetonians can take part in groundbreaking research projects or get involved with one of 300+ student organizations on campus. The Harvey S. Firestone Memorial Library, part of Princeton’s 10-library system, is home to over 7 million books, 6 million microfilms and a collection of rare books, prints and archives. The Princeton University Art Museum contains more than 80,000 works. The school’s varsity athletic teams, nicknamed the Tigers, compete in the Ivy League (NCAA Division I). Princeton has produced a large number of luminaries, including U.S. presidents James Madison and Woodrow Wilson, First Lady Michelle Obama, Google Executive Chairman Eric Schmidt, HP CEO Meg Whitman and celebrated author F. Scott Fitzgerald. FORBES Editor-in-Chief Steve Forbes graduated from Princeton in 1970.",http://www.forbes.com/colleges/princeton-university/?list=top-colleges
5,Massachusetts Institute of Technology,http://web.mit.edu/,Cambridge,Massachusetts,MA,http://i.forbesimg.com/media/lists/colleges/massachusetts-institute-of-technology_200x200.jpg,https://www.facebook.com/MITnews,https://twitter.com/MIT,617-253-1000,"Massachusetts Institute of Technology is one of the nation’s premier technological institutions. Founded in 1861, MIT’s community includes 78 Nobel laureates, 53 National Medal of Science winners, 41 MacArthur Fellows and 27 National Medal of Technology and Innovation winners. Located in Cambridge, MIT is part of an intellectual community that includes Harvard University and Wellesley College, a cross-registration partner. MIT offers 46 majors and 49 minors. Last year, there were roughly 4,380 undergraduates (45% women) and 6,690 graduate students (20% women). The school is often referenced in popular culture, like in movies “Good Will Hunting,” “21” and the Iron Man series, and in popular TV shows such as “The Big Bang Theory.” More than one third of the nation's space flights have included MIT-educated astronauts. Notable alumni include architect I.M. Pei ('40), billionaire brothers Charles Koch ('57) and David H. Koch ('62), Lawrence Summers ('75) and Khan Academy founder Salman Khan ('98). The school competes in NCAA Division III athletics and the school mascot is the Beaver. The current president of the university is L. Rafael Reif.",http://www.forbes.com/colleges/massachusetts-institute-of-technology/?list=top-colleges
6,Yale University,http://www.yale.edu/,New Haven,Connecticut,CT,http://i.forbesimg.com/media/lists/colleges/yale-university_200x200.jpg,https://www.facebook.com/YaleUniversity,https://twitter.com/Yale,203-432-4771,"Granted its charter in 1701, Yale is the third-oldest institution of higher education in the country and one of the top institutions in the world. Located in New Haven, CT, Yale academics are divided into Yale College (the undergraduate school), the Yale Graduate School of Arts and Sciences and 13 professional schools. The university’s library is one of the largest in the country and houses more than 12 million volumes. Yale College offers over 2,000 courses in 75 major programs. Its central campus sits on more than 300 acres, has 260 buildings and is home to four museums, including the Peabody Museum of Natural History and the Collection of Musical Instruments. The Yale-Harvard sports rivalry dates back to 1875; when the teams faced off, they wore Yale Blue and Harvard Crimson to identify the players, thus inventing the tradition of wearing school colors. The school’s bulldog mascot, named Handsome Dan, first walked across the football field in 1889. Yale alumni include five U.S. presidents: George H.W. Bush ('48), George W. Bush ('68), Clinton ('73, Law), Ford ('41, Law) and Taft (1878). Yale grad and Secretary of State John Kerry delivered the 2014 commencement address.",http://www.forbes.com/colleges/yale-university/?list=top-colleges
7,Harvard University,http://www.harvard.edu/,Cambridge,Massachusetts,MA,http://i.forbesimg.com/media/lists/colleges/harvard-university_200x200.jpg,https://www.facebook.com/Harvard,https://twitter.com/Harvard,617-495-1000,"Founded in 1636, Harvard University was the first institution of higher learning in the U.S. Its history, influence and wealth hasn’t stopped it from experimenting with new educational platforms, such as the MOOC edX, co-founded with nearby MIT. Harvard’s faculty and alumni have won 47 Nobel Prizes and the school recently hired former executive editor of The New York Times, Jill Abramson, to teach undergraduate courses. The university’s list of notable attendees and alumni is extensive and includes Microsoft founder Bill Gates, Facebook co-founder Mark Zuckerberg, actress Natalie Portman, cellist Yo-Yo Ma, NBA star Jeremy Lin and historian Doris Kearns Goodwin. The current president of the university is FORBES' No. 33 Power Woman Drew Gilpin Faust. Harvard University competes in NCAA Division I athletics and its teams are known as the Crimson. Harvard basketball has become notorious for upsets: In the past two NCAA tournaments, Harvard has upset No. 12 seed Cincinnati and No. 14 seed New Mexico.",http://www.forbes.com/colleges/harvard-university/?list=top-colleges
8,Pomona College,http://www.pomona.edu/,Claremont,California,CA,http://i.forbesimg.com/media/lists/colleges/pomona-college_200x200.jpg,https://www.facebook.com/pomonacollege,https://twitter.com/pomonacollege,909-621-8134,"Pomona College is a private liberal arts college in Claremont, CA. Established in 1887, it is the founding member of The Claremont Colleges, a consortium of neighboring schools. The college offers 47 majors. Students can choose from approximately 650 classes at Pomona and over 2,200 classes offered through the consortium. Around 80% of students have taken a class at another Claremont school. Nearly all students live on campus. Pomona emphasizes interaction between students and faculty: The school boasts an 8:1 student-faculty ratio and 68% of faculty members invited students to their homes during the past academic year. There are more than 220 student organizations across the five undergraduate campuses, and Pomona teams up with Pitzer College for its intercollegiate sports programs. Popular campus traditions include Ski-Beach Day, when students spend a morning skiing in the San Gabriel Mountains and an afternoon lounging at a nearby beach, and Mufti, a secret society that occasionally plasters pun-filled messages around campus. Notable alumni include former Walt Disney Company executive Roy E. Disney and former New York Times Executive Editor Bill Keller.",http://www.forbes.com/colleges/pomona-college/?list=top-colleges
9,United States Military Academy,http://www.usma.edu/,West Point,New York,NY,http://i.forbesimg.com/media/lists/colleges/united-states-military-academy_200x200.jpg,https://www.facebook.com/WestPointUSMA,https://twitter.com/WestPoint_USMA,845-938-4041,"In 1802, President Thomas Jefferson signed legislation that established the U.S. Military Academy in West Point, NY. The academy is a coeducational, public liberal arts college where applicants must have a nomination from a member of Congress to be admitted. During the course of their education, students can choose from more than 40 majors. At the end of their matriculation, they earn a commission into the U.S. Army as 2nd Lieutenants. Students are called “cadets” and must adhere to the Cadet Honor Code, which says that “a cadet will not lie, cheat, steal, or tolerate those who do.” The campus is home to the West Point Cemetery, where members of the U.S. Military Academy community are laid to rest. Prominent alumni include two presidents, Dwight D. Eisenhower and Ulysses S. Grant, and over 20 NASA astronauts and 70 Medal of Honor recipients. Athletes -- who go by their nickname the Black Knights and dress in black, gray and gold -- compete in NCAA Division I athletics and the Patriot League. Benedict Arnold was once in command of West Point and attempted to sell the outpost to the British, but his courier was captured before the letters were delivered.",http://www.forbes.com/colleges/united-states-military-academy/?list=top-colleges
10,Amherst College,https://www.amherst.edu/,Amherst,Massachusetts,MA,http://i.forbesimg.com/media/lists/colleges/amherst-college_200x200.jpg,https://www.facebook.com/amherstcollege,https://twitter.com/AmherstCollege,413-542-2000,"As one of the top small private liberal arts schools in the country, students frequently work one-on-one with faculty, who are among the nation’s leading scholars and have received awards from National Institutes of Health, the National Science Foundation and the Mellon Foundation, to name a few. Amherst, one of the few need-blind institutions, offers bachelor's degrees in 38 fields of study, with many students exploring their major further with a senior year thesis. Through the Five College Consortium, Amherst cooperates with Smith, Mount Holyoke, Hampshire College and the University of Massachusetts to provide students with opportunities to attend classes at other schools for no extra fee. Amherst boasts one of the oldest intercollegiate athletics programs in the nation, with 27 NCAA Division III varsity teams known as Lord Jeffs. Students can select from over 100 different clubs and groups, including Croquet Club and a Much Ado About Knitting group. Students also take advantage of the snowy Massachusetts winters by grabbing dining trays and sledding down Memorial Hill. Prominent alumni include author Dan Brown, former president Calvin Coolidge and economist Joseph E. Stiglitz.",http://www.forbes.com/colleges/amherst-college/?list=top-colleges
