St. John's College (Annapolis)	(410) 263-2371
New Jersey City University (Jersey City)	(201) 200-2000
Stevens Institute of Technology (Hoboken)	(201) 216-5000
Bergen Community College (Paramus)	(201) 447-7100
Felician College (Lodi)	(201) 559-6000
Ramapo College (Mahwah)	(201) 684-7500
Fairleigh Dickinson University (Teaneck)	(201) 692-2000
Saint Peter's University (Jersey City)	(201) 761-6000
University of the District of Columbia (Washington, D.C.)	(202) 274-5000
The Catholic University of America (Washington, D.C.)	(202) 319-5000
Dominican House of Studies (Washington, D.C.)	(202) 529-5300
Gallaudet University (Washington, D.C.)	(202) 651-5000
Theological College	(202) 756-4900
Howard University (Washington, D.C.)	(202) 806-6100
Trinity Washington University (Washington, D.C.)	(202) 884-9000
American University (Washington, D.C.)	(202) 885-1000
Georgetown University (Washington, D.C.)	(202) 965-1217
George Washington University (Washington, D.C.)	(202) 994-1000
Fairfield University (Fairfield)	(203) 254-4000
Sacred Heart University (Fairfield)	(203) 371-7999
Southern Connecticut State University (New Haven)	(203) 392-7278
Yale University	(203) 432-4771
Quinnipiac University (Hamden)	(203) 582-8200
University of New Haven (West Haven)	(203) 932-7000
Birmingham–Southern College (Birmingham)	(205) 226-4600
University of Alabama (Tuscaloosa)	(205) 348-6010
Stillman College (Tuscaloosa)	(205) 349-4240
University of West Alabama (Livingston)	(205) 652-3400
University of Montevallo (Montevallo)	(205) 665-6000
Samford University (Birmingham)	(205) 726-2011
Lawson State Community College	(205) 925-2515
Miles College (Fairfield)	(205) 929-1000
University of Alabama at Birmingham (Birmingham)	(205) 934-1111
UAB School of Dentistry (Birmingham)	(205) 934-3000
Jefferson State Community College (Birmingham)	(205) 983-5911
Seattle Pacific University (Seattle)	(206) 281-2000
Seattle University (Seattle)	(206) 296-6000
Seattle University School of Law	(206) 398-4000
University of Washington	(206) 543-2100
Cornish College of the Arts (Seattle)	(206) 726-5151
North Seattle College (Seattle)	(206) 934-3600
Seattle Central College (Seattle)	(206) 934-3800
University of Maine at Machias (Machias)	(207) 255-1200
University of New England	(207) 283-0171
Maine Maritime Academy (Castine)	(207) 326-4311
Unity College (Unity)	(207) 509-7100
University of Maine (Orono)	(207) 581-1110
University of Maine at Augusta (Augusta)	(207) 621-3000
Bowdoin College (Brunswick)	(207) 725-3000
Southern Maine Community College (South Portland)	(207) 741-5500
University of Maine at Presque Isle (Presque Isle)	(207) 768-9400
Maine College of Art (Portland)	(207) 775-3052
Bates College (Lewiston)	(207) 786-6255
Thomas College (Waterville)	(207) 859-1111
Colby College (Waterville)	(207) 859-4000
Saint Joseph's College of Maine (Standish)	(207) 892-6766
Husson University (Bangor)	(207) 941-7000
Eastern Maine Community College (Bangor)	(207) 974-4600
Idaho State University (Pocatello)	(208) 282-0211
Boise State University (Boise)	(208) 426-1000
College of Idaho (Caldwell)	(208) 459-5011
Northwest Nazarene University (Nampa)	(208) 467-8011
Brigham Young University–Idaho (Rexburg)	(208) 496-1411
Eastern Idaho Technical College (Idaho Falls)	(208) 524-3000
College of Western Idaho (Nampa)	(208) 562-3000
College of Southern Idaho (Twin Falls)	(208) 733-9554
North Idaho College (Coeur d'Alene)	(208) 769-3300
Lewis–Clark State College (Lewiston)	(208) 792-5272
University of Idaho (Moscow)	(208) 885-6111
University of California, Merced (Merced)	(209) 228-4400
Merced College (Merced)	(209) 384-6000
Modesto Junior College (Modesto)	(209) 575-6550
Columbia College (Columbia)	(209) 588-5100
California State University, Stanislaus (Turlock)	(209) 667-3122
University of the Pacific (Stockton)	(209) 946-2285
San Joaquin Delta College (Stockton)	(209) 954-5151
Our Lady of the Lake University (San Antonio)	(210) 434-6711
St. Mary's University, Texas (San Antonio)	(210) 436-3011
University of Texas at San Antonio (San Antonio)	(210) 458-4011
San Antonio College (San Antonio)	(210) 486-0000
St. Philip's College (San Antonio)	(210) 486-2000
Palo Alto College (San Antonio)	(210) 486-3000
