1	Williams College	威廉姆斯学院	Massachusetts
2	Stanford University	斯坦福大学	California
3	Swarthmore College	斯沃斯莫尔学院	Pennsylvania
4	Princeton University	普林斯顿大学	New Jersey
5	Massachusetts Institute of Technology	麻省理工学院	Massachusetts
6	Yale University	耶鲁大学	Connecticut
7	Harvard University	哈佛大学	Massachusetts
8	Pomona College	波莫纳学院	California
9	United States Military Academy	美国军事学院	New York
10	Amherst College	阿默斯特学院	Massachusetts
11	Haverford College	哈弗福德学院	Pennsylvania
12	University of Pennsylvania	宾夕法尼亚大学	Pennsylvania
13	Brown University	布朗大学	Rhode Island
14	Bowdoin College	鲍登学院	Maine
15	Wesleyan University	卫斯理大学	Connecticut
16	Carleton College	卡尔顿学院	Minnesota
17	University of Notre Dame	圣母大学	Indiana
18	Dartmouth College	达特茅斯学院	New Hampshire
19	Northwestern University	美国西北大学	Illinois
20	Columbia University	哥伦比亚大学	New York
21	California Institute of Technology	加利福尼亚理工学院	California
22	Davidson College	大卫森学院	North Carolina
23	Duke University	杜克大学	North Carolina
24	University of Chicago	芝加哥大学	Illinois
25	Tufts University	塔夫斯大学	Massachusetts
26	Vassar College	瓦萨学院	New York
27	United States Naval Academy	美国海军学院	Maryland
28	Georgetown University	乔治敦大学	District of Columbia
29	Wellesley College	韦尔斯利学院	Massachusetts
30	Middlebury College	明德学院	Vermont
31	Cornell University	康奈尔大学	New York
32	Rice University	莱斯大学	Texas
33	Washington and Lee University	华盛顿与李大学	Virginia
34	United States Air Force Academy	美国空军学院	Colorado
35	Barnard College	巴纳德学院	New York
36	Boston College	波士顿学院	Massachusetts
37	University of California Berkeley	加州大学伯克利分校	California
38	Colgate University	科尔盖特大学	New York
39	Colby College	柯比学院	Maine
40	University of Virginia	弗吉尼亚大学	Virginia
41	College of William and Mary	威廉和玛丽学院	Virginia
42	Kenyon College	凯尼恩学院	Ohio
43	Oberlin College	欧柏林学院	Ohio
44	University of California Los Angeles	加州大学洛杉矶分校	California
45	University of Michigan Ann Arbor	密歇根州安娜堡大学	Michigan
46	Reed College	里德学院	Oregon
47	Whitman College	惠特曼学院	Washington
48	Lafayette College	拉斐特学院	Pennsylvania
49	Smith College	史密斯学院	Massachusetts
50	University of North Carolina Chapel Hill	北卡罗莱纳州教堂山大学	North Carolina
51	Colorado College	科罗拉多学院	Colorado
52	Harvey Mudd College	哈维穆德学院	California
53	College of the Holy Cross	圣十字学院	Massachusetts
54	Vanderbilt University	范德比尔特大学	Tennessee
55	Hamilton College	汉密尔顿学院	New York
56	Franklin and Marshall College	富兰克林和马歇尔学院	Pennsylvania
57	Union College	美国联合学院	New York
58	Grinnell College	格林内尔学院	Iowa
59	Carnegie Mellon University	卡内基·梅隆大学	Pennsylvania
60	Bates College	贝茨学院	Maine
61	Wake Forest University	维克森林大学	North Carolina
62	University of Rochester	罗切斯特大学	New York
63	Washington University in Saint Louis	华盛顿大学圣路易斯	Missouri
64	Cooper Union	库珀联盟学院	New York
65	Bryn Mawr College	布林莫尔学院	Pennsylvania
66	Macalester College	马卡莱斯特学院	Minnesota
67	Johns Hopkins University	约翰·霍普金斯大学	Maryland
68	University of Illinois Urbana Champaign	伊利诺伊大学厄本纳香槟分校	Illinois
69	Scripps College	斯克里普斯学院	California
70	University of Wisconsin Madison	美国威斯康星大学麦迪逊分校	Wisconsin
71	Villanova University	维拉诺瓦大学	Pennsylvania
72	New York University	纽约大学	New York
73	University of Washington	华盛顿大学	Washington
74	Brandeis University	美国布兰迪斯大学	Massachusetts
75	Wheaton College	惠顿学院 伊利诺伊	Illinois
76	University of Texas Austin	得克萨斯大学奥斯汀分校	Texas
77	Lehigh University	利哈伊大学	Pennsylvania
78	University of Southern California	南加州大学	California
79	Brigham Young University	杨百翰大学	Utah
80	Occidental College	西方学院 美国	California
81	Centre College	森特学院	Kentucky
82	University of Maryland College Park	马里兰大学帕克分校	Maryland
83	Trinity College	美国三一学院	Connecticut
84	Connecticut College	康涅狄格学院	Connecticut
85	Wofford College	沃福德大学	South Carolina
86	Santa Clara University	圣塔克拉拉大学	California
87	University of Florida	佛罗里达大学	Florida
88	Dickinson College	迪金森学院	Pennsylvania
89	Boston University	波士顿大学	Massachusetts
90	Georgia Institute of Technology	佐治亚理工学院	Georgia
91	DePauw University	美国德堡大学	Indiana
92	Earlham College	厄勒姆学院	Indiana
93	Rhodes College	罗德学院	Tennessee
94	University of Georgia	乔治亚大学	Georgia
95	Denison University	丹尼森大学	Ohio
96	University of Richmond	里奇蒙大学	Virginia
97	Mount Holyoke College	曼荷莲女子文理学院	Massachusetts
98	Sewanee University of the South	西沃恩南方大学	Tennessee
99	Sarah Lawrence College	莎拉·劳伦斯学院	New York
100	Furman University	弗曼大学	South Carolina
101	Southern Methodist University	南方卫理公会大学	Texas
102	Skidmore College	斯基德莫尔学院	New York
103	Gettysburg College	葛底斯堡学院	Pennsylvania
104	Pitzer College	匹泽学院	California
105	Providence College	普罗维登斯学院	Rhode Island
106	Lawrence University	劳伦斯大学	Wisconsin
107	Indiana University Bloomington	印地安那大学伯明顿分校	Indiana
108	University of Minnesota Twin Cities	明尼苏达双城大学	Minnesota
109	Saint Olaf College	圣奥拉夫学院	Minnesota
110	Hampshire College	罕布什尔学院	Massachusetts
111	Kalamazoo College	卡拉马祖学院	Michigan
112	Pepperdine University	佩珀代因大学	California
113	University of California Davis	美国加州大学戴维斯分校	California
114	United States Coast Guard Academy	美国海岸警卫学院	Connecticut
115	Lewis & Clark College	路易克拉克大学	Oregon
116	University of California Santa Barbara	加利福尼亚大学圣塔芭芭拉分校	California
117	Virginia Tech	弗吉尼亚理工大学	Virginia
118	University of Colorado Boulder	科罗拉多大学波尔得分校	Colorado
119	Purdue University West Lafayette	普渡大学西拉法叶校区	Indiana
120	Yeshiva University	叶史瓦大学	New York
121	Muhlenberg College	穆伦堡学院	Pennsylvania
122	George Washington University	乔治华盛顿大学	District of Columbia
123	University of Redlands	雷德兰兹大学	California
124	College of the Atlantic	大西洋学院	Maine
125	Bennington College	本宁顿学院	Vermont
126	University of California San Diego	加利福尼亚大学圣地亚哥分校	California
127	Case Western Reserve University	凯斯西储大学	Ohio
128	University of Miami	迈阿密大学	Florida
129	Virginia Military Institute	弗吉尼亚军事学院	Virginia
130	Willamette University	威拉米特大学	Oregon
131	Rensselaer Polytechnic Institute	伦斯勒理工学院	New York
132	Trinity University	美国三一大学	Texas
133	Juniata College	杰尼阿塔学院	Pennsylvania
134	American University	美国大学 American University	District of Columbia
135	University of Delaware	特拉华大学	Delaware
136	College of Wooster	伍斯特学院	Ohio
137	Texas A&M University College Station	德克萨斯农工大学	Texas
138	Saint Lawrence University	圣劳伦斯大学	New York
139	University of Denver	丹佛大学	Colorado
140	University of Vermont	佛蒙特大学	Vermont
141	University of Utah	犹他大学	Utah
142	Presbyterian College	长老会学院	South Carolina
143	Drake University	德雷克大学	Iowa
144	University of California Irvine	加州大学欧文分校	California
145	Ohio Wesleyan University	俄亥俄卫斯理大学	Ohio
146	Clark University	克拉克大学	Massachusetts
147	Tulane University	杜兰大学	Louisiana
148	Grove City College	格罗夫城市学院	Pennsylvania
149	Knox College	诺克斯学院	Illinois
150	Fordham University	福特汉姆大学	New York
151	Saint Michael's College	圣迈克尔学院	Vermont
152	Hendrix College	亨德里克斯学院	Arkansas
153	Colorado School of Mines	科罗拉多矿业学院	Colorado
154	Bard College	巴德学院	New York
