english_phrase 	 chinese_phrase 	 bd_index_common 	 bd_index_chinese 	 bd_news_common 	 bd_news_chinese 	 gg_index_common 	 gg_new 	 gg_hk 	 gg_site 	 bd_site 	 yj_index_eng 	 china_media_index	 asia_media_index	 japan_media_index
"California Maritime Academy" mba  	  加州海事学院 mba  	 0.142583 	 0.913499 	 0.000000 	 0.000000 	 0.410848 	 0.001821 	 0.069550 	 0.196216 	 0.042493 	 0.086329 	 9.993643 	 10.513556 	 4.972728
""California Polytechnic State University, San Luis Obispo"" mba  	  加州州立理工大学 mba  	 1.678229 	 3.677724 	 1.000000 	 4.883721 	 0.584096 	 0.278592 	 0.374019 	 2.981916 	 0.949395 	 1.824543 	 88.361357 	 94.382086 	 46.756471
""California State Polytechnic University, Pomona"" mba  	  波莫纳加州州立理工大学 mba  	 1.297417 	 0.053742 	 0.000000 	 0.488372 	 0.839020 	 0.177534 	 0.364012 	 1.582384 	 0.788610 	 1.640864 	 21.038978 	 35.934766 	 29.477771
""CSU, California State University, Bakersfield"" mba  	  贝克斯菲尔德加州州立大学 mba  	 0.974170 	 0.013999 	 0.000000 	 0.000000 	 0.829120 	 0.706494 	 12.371410 	 0.139953 	 0.233520 	 2.216391 	 57.500825 	 61.414997 	 52.073477
""CSU, California State University, Channel Islands"" mba  	  切奈尔岛加州州立大学 mba  	 1.266421 	 0.000967 	 0.000000 	 0.000000 	 0.881095 	 1.602358 	 12.333883 	 0.513396 	 0.131690 	 0.263885 	 60.186130 	 61.899910 	 43.162171
""CSU, California State University, Chico"" mba  	  奇科加州州立大学 mba  	 1.532103 	 0.043480 	 0.000000 	 -0.488372 	 0.806845 	 0.561736 	 0.090690 	 1.417113 	 0.995333 	 0.347765 	 15.118884 	 28.296730 	 18.974518
""CSU, California State University, Dominguez Hills"" mba  	  多明内兹山加州州立大学 mba  	 0.907749 	 0.000825 	 0.000000 	 0.000000 	 0.329173 	 0.187549 	 0.217657 	 0.345663 	 0.509917 	 0.814309 	 8.661745 	 15.779962 	 12.680204
""CSU, California State University, East Bay"" mba  	  东湾加州州立大学 mba  	 1.315129 	 0.303709 	 0.000000 	 2.441860 	 2.378461 	 3.896644 	 1.626171 	 0.265489 	 0.478526 	 0.432258 	 47.732454 	 68.014333 	 43.952596
""CSU, California State University, Fresno"" mba  	  弗雷斯诺加州州立大学 mba  	 1.235424 	 0.035591 	 0.000000 	 0.000000 	 1.007319 	 0.955952 	 0.544142 	 0.201842 	 0.763344 	 2.651098 	 15.814939 	 34.962803 	 35.156991
""CSU, California State University, Fullerton"" mba  	  富勒顿加州州立大学 mba  	 1.332841 	 0.014296 	 0.000000 	 0.000000 	 1.049394 	 1.056100 	 0.530382 	 1.466343 	 1.546595 	 2.577626 	 25.387149 	 48.029377 	 42.434687
""CSU, California State University, Long Beach"" mba  	  长滩加州州立大学 mba  	 1.235424 	 8.957038 	 0.000000 	 1.465116 	 2.648234 	 5.061996 	 1.438536 	 0.819324 	 3.276943 	 0.476953 	 133.602375 	 143.071904 	 64.274982
""CSU, California State University, Los Angeles"" mba  	  洛杉矶加州州立大学 mba  	 1.434686 	 14.236351 	 0.000000 	 3.418605 	 4.504473 	 14.293766 	 0.141352 	 0.991628 	 0.949395 	 0.685734 	 192.977417 	 235.852432 	 124.756945
""CSU, California State University, Monterey Bay"" mba  	  蒙特利湾加州州立大学 mba  	 0.876753 	 0.021532 	 0.000000 	 0.000000 	 0.247498 	 0.434276 	 0.263940 	 0.685700 	 0.235817 	 0.182454 	 8.300394 	 14.777592 	 9.958987
""CSU, California State University, Northridge"" mba  	  北岭加州州立大学 mba  	 1.452399 	 0.489968 	 0.000000 	 1.953488 	 0.972669 	 0.561736 	 0.491604 	 2.014903 	 6.262943 	 2.387825 	 76.392162 	 88.416459 	 47.991143
""CSU, California State University, Sacramento"" mba  	  萨克拉门托加州州立大学 mba  	 1.709225 	 3.398929 	 0.000000 	 0.488372 	 1.970088 	 3.905749 	 0.883136 	 1.195579 	 1.156118 	 0.472055 	 62.962354 	 83.575164 	 47.652433
""CSU, California State University, San Bernardino"" mba  	  圣博纳德加州州立大学 mba  	 0.894465 	 0.000878 	 0.000000 	 0.000000 	 0.794470 	 0.355068 	 0.559153 	 0.421969 	 0.292475 	 1.451063 	 10.439342 	 22.248730 	 21.772162
""CSU, California State University, San Marcos"" mba  	  圣马可斯加州州立大学 mba  	 0.921033 	 0.027583 	 0.000000 	 0.000000 	 0.994944 	 0.294069 	 0.072177 	 0.900201 	 0.666873 	 0.372868 	 13.293124 	 22.694158 	 15.688858
""CSU, California State University, Stanislaus"" mba  	  斯坦尼斯洛斯加州州立大学 mba  	 0.690775 	 0.004508 	 0.000000 	 0.488372 	 0.200226 	 0.263115 	 0.597931 	 0.534494 	 0.288647 	 2.883758 	 11.978860 	 26.279722 	 30.727399
"Humboldt State University" mba  	  洪堡加州州立大学 mba  	 0.504797 	 0.004935 	 0.000000 	 0.488372 	 0.188099 	 0.060999 	 0.093567 	 0.650536 	 0.355257 	 0.454299 	 9.966654 	 14.117904 	 9.673056
""SDSU, San Diego State University"" mba  	  圣地亚哥州立大学 mba  	 0.326790 	 1.227885 	 0.000000 	 7.813953 	 1.096418 	 0.165698 	 0.109329 	 1.983255 	 4.287589 	 0.527158 	 105.195194 	 95.378625 	 34.319001
""SFSU, San Francisco State University"" mba  	  旧金山州立大学 mba  	 0.374170 	 1.684635 	 0.000000 	 4.395349 	 1.264717 	 0.130192 	 0.059918 	 2.545881 	 0.749562 	 0.291437 	 62.171648 	 63.068848 	 29.358997
""SJSU, San Jose State University"" mba  	  圣荷西州立大学 mba  	 0.284280 	 0.083045 	 0.000000 	 0.488372 	 1.277092 	 0.142938 	 0.055915 	 1.874246 	 1.684410 	 0.249803 	 26.405952 	 35.116332 	 21.121746
"Sonoma State University" mba  	  索诺玛加州州立大学 mba  	 0.464945 	 0.042057 	 0.000000 	 0.000000 	 0.418272 	 0.201205 	 0.138850 	 0.393838 	 0.659982 	 0.679612 	 9.280361 	 15.286903 	 11.948155

Average  	 Value  	 22583.333333 	 168582.523810 	 0.000000 	 2.047619 	 404042.857143 	 1098.380952 	 799423.809524 	 284380.952381 	 13060.952381 	 163328.571429 	 46.641823 	 57.352752 	 34.734151
