english_phrase 	 chinese_phrase 	 bd_index_common 	 bd_index_chinese 	 bd_news_common 	 bd_news_chinese 	 gg_index_common 	 gg_new 	 gg_hk 	 gg_site 	 bd_site 	 yj_index_eng 	 china_media_index	 asia_media_index	 japan_media_index
"Hawaii" travel  	  夏威夷旅游 travel  	 0.279870 	 2.044843 	 0.078431 	 1.677862 	 0.801000 	 2.656038 	 0.637202 	 0.204017 	 2.315113 	 0.683025 	 55.902100 	 62.592281 	 31.439994
"California" travel  	  美国加州旅游 travel  	 1.892627 	 0.313901 	 0.627451 	 0.724880 	 2.419900 	 4.766061 	 1.887202 	 0.591008 	 0.720257 	 2.043134 	 43.780980 	 80.405620 	 63.283440
"Phuket" travel  	  泰国普吉岛旅游 travel  	 0.593122 	 1.306428 	 0.470588 	 1.093352 	 0.234555 	 0.006432 	 0.188991 	 0.047024 	 0.008360 	 0.191841 	 21.904390 	 20.672729 	 6.824614
"Maldives" travel  	  马尔代夫旅游 travel  	 0.280765 	 1.378176 	 15.843137 	 2.006854 	 0.236582 	 0.006895 	 0.202549 	 0.090481 	 2.430868 	 0.205798 	 76.142444 	 100.818732 	 25.661074
"Jeju-do" travel  	  韩国济州岛旅游 travel  	 0.004828 	 1.150972 	 0.000000 	 0.835641 	 0.003092 	 0.000027 	 0.000941 	 26.165377 	 14.983923 	 0.001030 	 198.463602 	 258.024808 	 147.827972
"Bali" travel  	  印尼巴厘岛旅游 travel  	 0.804739 	 1.228700 	 4.705882 	 1.776559 	 0.442747 	 0.513624 	 0.314534 	 0.003184 	 0.083601 	 0.386057 	 37.495138 	 47.044246 	 17.114782
"Washington DC" travel  	  华盛顿旅游 travel  	 1.067024 	 0.615845 	 0.000000 	 0.039479 	 1.003785 	 0.842158 	 0.783623 	 0.000018 	 0.000643 	 0.855266 	 15.171878 	 25.012120 	 19.362171
"new york" travel  	  纽约旅游 travel  	 2.938788 	 0.412556 	 0.705882 	 0.072378 	 2.838989 	 2.022105 	 2.847072 	 4.473731 	 0.002572 	 2.423253 	 48.485098 	 91.674515 	 75.886464
"Los Angels" travel  	  洛杉矶旅游 travel  	 0.739168 	 1.121076 	 0.000000 	 0.218232 	 0.022442 	 0.000051 	 1.138829 	 2.543348 	 1.890675 	 1.211626 	 37.462079 	 45.776373 	 28.769022
"USA" travel  	  美国旅游 travel  	 2.342685 	 0.786248 	 1.411765 	 1.601097 	 3.281736 	 1.952697 	 2.955531 	 0.047207 	 0.548553 	 2.836037 	 54.560781 	 82.932670 	 61.697906

Average  	 Value  	 3355125.000000 	 3345000.000000 	 12.750000 	 911.875000 	 295880000.000000 	 21611138.750000 	 368800000.000000 	 109304.750000 	 1555.000000 	 336737500.000000 	 58.936849 	 81.495410 	 47.786744
