english_phrase 	 chinese_phrase 	 bd_index_common 	 bd_index_chinese 	 bd_news_common 	 bd_news_chinese 	 gg_index_common 	 gg_new 	 gg_hk 	 gg_site 	 bd_site 	 yj_index_eng	 yj_index_jp
"Hawaii" travel 	 夏威夷 travel 	 3890000 	 3850000 	 2 	 69900 	 969000000 	 48700000 	 235000000 	 21300 	 4150 	 228000000	 30800000
"California" travel 	 美国加州 travel 	 6660000 	 1110000 	 8 	 549 	 750000000 	 87400000 	 751000000 	 62700 	 1240 	 2980000000	 1290000
"Phuket" travel 	 泰国普吉岛 travel 	 1120000 	 4310000 	 6 	 808 	 69300000 	 120000 	 69300000 	 5110 	 14 	 69200000	 838000
"Maldives" travel 	 马尔代夫 travel 	 885000 	 4230000 	 207 	 126000 	 78100000 	 162000 	 78100000 	 9890 	 4040 	 77600000	 258000
"Jeju-do" travel 	 韩国济州岛 travel 	 13600 	 3560000 	 0 	 842 	 3040000 	 585 	 350000 	 2820000 	 22900 	 349000	 860000
"Bali" travel 	 印尼巴厘岛 travel 	 2560000 	 3300000 	 15 	 1260 	 134000000 	 13000000 	 134000000 	 349 	 78 	 133000000	 802000
"Washington DC" travel 	 华盛顿 travel 	 3620000 	 2410000 	 0 	 834 	 302000000 	 10900000 	 303000000 	 2090 	 326 	 293000000	 1080000
"new york" travel 	 纽约 travel 	 9160000 	 5890000 	 11 	 130000 	 900000000 	 37400000 	 884000000 	 476000 	 4 	 848000000	 26000000
"Los Angels" travel 	 洛杉矶 travel 	 2660000 	 3960000 	 0 	 638 	 6630000 	 1110 	 442000000 	 282000 	 3070 	 430000000	 10800000
"San Francisco" travel 	 旧金山 travel 	 4130000 	 2110000 	 6 	 487 	 406000000 	 35400000 	 412000000 	 40300 	 636 	 402000000	 2520000
"USA" travel 	 美国 travel 	 9390000 	 4770000 	 19 	 1480 	 1010000000 	 40300000 	 1020000000 	 5210 	 713 	 992000000	 478000
